epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2
55,5651.04,5.62047,1.31211,0,0,0,0,0,5.16341,1.24483,0,0.0014654,0.0014654,0.0014654
56,5754.39,5.6441,1.31481,0,0,0,0,0,5.14203,1.24289,0,0.0014555,0.0014555,0.0014555
57,5857.22,5.71153,1.31879,0,0,0,0,0,5.1395,1.24509,0,0.0014456,0.0014456,0.0014456
58,5960.16,5.61012,1.31353,0,0,0,0,0,5.21752,1.24369,0,0.0014357,0.0014357,0.0014357
59,6062.95,5.65515,1.3147,0,0,0,0,0,5.16603,1.24336,0,0.0014258,0.0014258,0.0014258
60,6165.5,5.64585,1.31471,0,0,0,0,0,5.12399,1.24061,0,0.0014159,0.0014159,0.0014159
61,6274.03,5.63832,1.31158,0,0,0,0,0,5.14584,1.24183,0,0.001406,0.001406,0.001406
62,6378.96,5.67306,1.31295,0,0,0,0,0,5.16088,1.24241,0,0.0013961,0.0013961,0.0013961
63,6484.63,5.6169,1.31049,0,0,0,0,0,5.11446,1.23711,0,0.0013862,0.0013862,0.0013862
64,6590.18,5.63129,1.31137,0,0,0,0,0,5.11812,1.23939,0,0.0013763,0.0013763,0.0013763
65,6695,5.59099,1.31022,0,0,0,0,0,5.16391,1.23974,0,0.0013664,0.0013664,0.0013664
66,6802.29,5.59463,1.30981,0,0,0,0,0,5.11851,1.23759,0,0.0013565,0.0013565,0.0013565
67,6906.56,5.59592,1.30901,0,0,0,0,0,5.08692,1.24133,0,0.0013466,0.0013466,0.0013466
68,7010.92,5.60699,1.31034,0,0,0,0,0,5.13616,1.23937,0,0.0013367,0.0013367,0.0013367
69,7114.04,5.57091,1.30648,0,0,0,0,0,5.11574,1.2354,0,0.0013268,0.0013268,0.0013268
70,7217.8,5.56992,1.30563,0,0,0,0,0,5.11283,1.23814,0,0.0013169,0.0013169,0.0013169
71,7321.86,5.58399,1.30824,0,0,0,0,0,5.14543,1.23683,0,0.001307,0.001307,0.001307
72,7429.04,5.52161,1.30445,0,0,0,0,0,5.09418,1.23522,0,0.0012971,0.0012971,0.0012971
73,7534.51,5.55722,1.30234,0,0,0,0,0,5.093,1.23878,0,0.0012872,0.0012872,0.0012872
74,7638.38,5.55564,1.30444,0,0,0,0,0,5.08203,1.23506,0,0.0012773,0.0012773,0.0012773
75,7742.7,5.55251,1.30638,0,0,0,0,0,5.10532,1.23804,0,0.0012674,0.0012674,0.0012674
76,7863.56,5.61078,1.30717,0,0,0,0,0,5.08526,1.23454,0,0.0012575,0.0012575,0.0012575
77,7986.09,5.49797,1.30237,0,0,0,0,0,5.06427,1.23101,0,0.0012476,0.0012476,0.0012476
78,8094.34,5.5442,1.30347,0,0,0,0,0,5.10981,1.23353,0,0.0012377,0.0012377,0.0012377
79,8198.32,5.51647,1.302,0,0,0,0,0,5.09672,1.23408,0,0.0012278,0.0012278,0.0012278
80,8302.78,5.53196,1.30224,0,0,0,0,0,5.1333,1.24024,0,0.0012179,0.0012179,0.0012179
81,8407.34,5.49049,1.30144,0,0,0,0,0,5.0662,1.22987,0,0.001208,0.001208,0.001208
82,8510.89,5.53668,1.29907,0,0,0,0,0,5.06285,1.23079,0,0.0011981,0.0011981,0.0011981
83,8618.96,5.49454,1.3019,0,0,0,0,0,5.06907,1.23047,0,0.0011882,0.0011882,0.0011882
84,8722.62,5.48236,1.30039,0,0,0,0,0,5.07298,1.2302,0,0.0011783,0.0011783,0.0011783
85,8826.36,5.49137,1.30001,0,0,0,0,0,5.07449,1.23126,0,0.0011684,0.0011684,0.0011684
86,8929.84,5.51432,1.29969,0,0,0,0,0,5.07349,1.22998,0,0.0011585,0.0011585,0.0011585
87,9034.37,5.4867,1.29658,0,0,0,0,0,5.07825,1.22959,0,0.0011486,0.0011486,0.0011486
88,9139.44,5.54187,1.29965,0,0,0,0,0,5.08631,1.22831,0,0.0011387,0.0011387,0.0011387
89,9246.11,5.5031,1.29395,0,0,0,0,0,5.05174,1.22728,0,0.0011288,0.0011288,0.0011288
90,9348.97,5.4988,1.29786,0,0,0,0,0,5.04919,1.22695,0,0.0011189,0.0011189,0.0011189
91,9452.86,5.4462,1.29467,0,0,0,0,0,5.04082,1.22659,0,0.001109,0.001109,0.001109
