epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
167,3721.77,4.81049,1.22428,0,0,0,0,0,5.17636,1.22633,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
168,3834.97,4.81163,1.2241,0,0,0,0,0,5.17414,1.22553,0,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489
169,3950.46,4.8105,1.22404,0,0,0,0,0,5.18475,1.22542,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
170,4062.99,4.8073,1.22672,0,0,0,0,0,5.18878,1.22613,0,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423
171,4178.65,4.79649,1.224,0,0,0,0,0,5.18384,1.22573,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
172,4290.61,4.79869,1.22305,0,0,0,0,0,5.19525,1.22751,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
173,4404.2,4.81406,1.22377,0,0,0,0,0,5.19769,1.22678,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
174,4514.73,4.78429,1.22174,0,0,0,0,0,5.21077,1.22811,0,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291
175,4629.71,4.7766,1.22073,0,0,0,0,0,5.20278,1.22857,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
176,4741.38,4.77515,1.21996,0,0,0,0,0,5.20794,1.22883,0,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
177,4855.24,4.80478,1.22349,0,0,0,0,0,5.21165,1.22845,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
178,4966.89,4.76744,1.21962,0,0,0,0,0,5.21283,1.228,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
179,5081.65,4.78363,1.21936,0,0,0,0,0,5.20649,1.2284,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
180,5192.95,4.76666,1.22013,0,0,0,0,0,5.20436,1.22755,0,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093
181,5304.08,4.77256,1.22062,0,0,0,0,0,5.21642,1.22863,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
182,5417.6,4.77316,1.21919,0,0,0,0,0,5.21151,1.22795,0,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027
183,5527.62,4.74642,1.21778,0,0,0,0,0,5.22189,1.22967,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
184,5643.21,4.80978,1.22105,0,0,0,0,0,5.22256,1.22924,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
185,5754.4,4.75412,1.21761,0,0,0,0,0,5.22031,1.22825,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
186,5869.42,4.76367,1.21837,0,0,0,0,0,5.22727,1.22847,0,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
187,5980.64,4.75555,1.21761,0,0,0,0,0,5.23005,1.22904,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
188,6092.19,4.73627,1.21625,0,0,0,0,0,5.23646,1.23056,0,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829
189,6205.73,4.7024,1.21277,0,0,0,0,0,5.24394,1.23083,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
190,6317.82,4.74678,1.21717,0,0,0,0,0,5.24488,1.23032,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
191,6431.52,4.72292,1.21677,0,0,0,0,0,5.24587,1.23071,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
192,6542.71,4.71294,1.21444,0,0,0,0,0,5.25395,1.23102,0,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697
193,6656.08,4.72041,1.21405,0,0,0,0,0,5.25431,1.23064,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
194,6767.15,4.73501,1.21521,0,0,0,0,0,5.24733,1.2297,0,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631
195,6878.95,4.70523,1.21188,0,0,0,0,0,5.24723,1.22932,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
196,6992.04,4.74074,1.21375,0,0,0,0,0,5.25315,1.22968,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
